Palavra;Frequência
coisa;22
na;124
petrobras.eu;1
acho;13
que,;20
de;798
vez;11
em;175
quando,;2
a;807
gente;71
tem;121
que;832
acreditar;2
de;798
que;832
nada;14
acontece;6
por;123
acaso.;1
era;27
preciso;15
ser;54
ele;42
para;321
me;42
perguntar,;2
e;577
eu;285
sabia;1
que;832
essa;62
pergunta;37
viria.;1
eu;285
acho;13
que;832
isso;76
é;420
importante;12
porque;92
as;110
pessoas;44
precisam;5
saber;10
de;798
que;832
inverdades;2
não;311
valem;1
a;807
pena;1
na;124
televisão.;2
citar;3
números;9
que;832
são;33
mentirosos,;1
também;35
não;311
compensa;1
na;124
televisão.;2
aqui;35
é;420
importante;12
a;807
gente;71
citar;3
o;804
seguinte:;8
não;311
teve;13
nenhum;13
presidente;52
da;269
república;14
que;832
fez;13
mais;128
investigação;2
para;321
que;832
a;807
gente;71
apurasse;1
a;807
corrupção;22
do;382
que;832
nós;201
fizemos.;2
e;577
é;420
importante;12
deixar;7
claro;2
que;832
nós;201
fizemos;6
o;804
portal;5
da;269
transparência,;2
a;807
fiscalização;1
da;269
cgu,;1
a;807
lei;10
de;798
acesso;6
à;49
informação,;2
a;807
lei;10
anticorrupção,;1
a;807
